UVC,Make,Range,Model,Mark,ModelSeries,StartDate,EndDate,FuelType,VehicleClass,BodyShape,BodyStyle,NumberOfDoors,GrossVehicleWeightKG,PowerDelivery,EngineCapacityCC,EngineCapacityLitres,Aspiration,KW,BHP,NumberOfGears,TransmissionType,DriveType,DrivingAxle,BatteryCapacity,VehicleType,Model Status,VehiclesOnTheRoad ,DocumentVersion
M-EGEYY,Mercedes-Benz,Sprinter,Sprinter 516 CDi,3,VS30,43377,NULL,Diesel,HCV,NULL,Chassis Cab,NULL,5000,ICE,2143,2.1,Turbocharged,120,160,NULL,Manual,4x2,Rear,NULL,ICE,Current,TRUE,85
M-ELEWT,Toyota,Proace Verso,Proace Verso Family L1 D-4D Auto,3,PV1,44238,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1997,2,Turbocharged,130,174,6,Automatic,4x2,Front,NULL,ICE,Current,TRUE,87
M-EWHEZ,Peugeot,Rifter,Rifter Horizon RS+,3,K9,44425,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,75,100,5,Manual,4x2,Front,NULL,ICE,Current,TRUE,87
M-EXLPS,Volkswagen,Caddy,Caddy Maxi C20 TSi,5,SB,44364,NULL,Petrol,VDC,NULL,Van Derived Car,5,NULL,ICE,1498,1.5,Turbocharged,84,112,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-EYJZL,Citroen,SpaceTourer,Spacetourer Feel Blue HDi S/S,1,K01,44110,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,88,118,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-EYLNV,Vauxhall,Vivaro Life,Vivaro Life Edition S/S,3,K0,43887,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,88,118,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,87
M-EYTWY,Peugeot,Traveller,Traveller Active Standard Blue HDi S/S,1,K0,44280,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,88,118,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-FAFPP,Iveco,Daily,Daily 50C18b,NULL,MY2014,44805,NULL,Diesel,HCV,NULL,NULL,NULL,5200,ICE,2998,3,Turbocharged,132,177,6,Manual,4x2,Rear,NULL,ICE,Current,TRUE,90
M-FCXWS,Isuzu,D-Max,D-Max DL40,3,TER,44237,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3100,ICE,1898,1.9,Turbocharged,120,160,6,Manual,4x4,All - Selected,NULL,ICE,Current,TRUE,86
M-FHSEP,Mercedes-Benz,Sprinter,Sprinter 516 CDi,3,VS30,43280,NULL,Diesel,HCV,NULL,Panel Van,NULL,5000,ICE,2143,2.1,Turbocharged,120,160,NULL,Manual,4x2,Rear,NULL,ICE,Current,TRUE,85
